codigo,nombre,seleccion,tipo,seccion,orden_original,lo_tengo,repetidos,wishlist
00,Logo Panini - We Are Panini,Especial,FOIL,Introducción,0,FALSE,0,FALSE
FWC1,Emblema Oficial,Especial,FOIL,Introducción,1,FALSE,0,FALSE
FWC2,Emblema Oficial,Especial,FOIL,Introducción,2,FALSE,0,FALSE
FWC3,Mascotas Oficiales,Especial,FOIL,Introducción,3,FALSE,0,FALSE
FWC4,Eslogan Oficial,Especial,FOIL,Introducción,4,FALSE,0,FALSE
FWC5,Balón Oficial,Especial,FOIL,Introducción,5,FALSE,0,FALSE
FWC6,Canadá - Países y Ciudades Anfitrionas,Especial,FOIL,Introducción,6,FALSE,0,FALSE
FWC7,México - Países y Ciudades Anfitrionas,Especial,FOIL,Introducción,7,FALSE,0,FALSE
FWC8,EE. UU. - Países y Ciudades Anfitrionas,Especial,FOIL,Introducción,8,FALSE,0,FALSE
MEX1,Escudo del equipo,México,FOIL,Selecciones,9,FALSE,0,FALSE
MEX2,Luis Malagón,México,Base,Selecciones,10,FALSE,0,FALSE
MEX3,Johan Vásquez,México,Base,Selecciones,11,FALSE,0,FALSE
MEX4,Jorge Sánchez,México,Base,Selecciones,12,FALSE,0,FALSE
MEX5,César Montes,México,Base,Selecciones,13,FALSE,0,FALSE
MEX6,Jesús Gallardo,México,Base,Selecciones,14,FALSE,0,FALSE
MEX7,Israel Reyes,México,Base,Selecciones,15,FALSE,0,FALSE
MEX8,Diego Lainez,México,Base,Selecciones,16,FALSE,0,FALSE
MEX9,Carlos Rodríguez,México,Base,Selecciones,17,FALSE,0,FALSE
MEX10,Edson Álvarez,México,Base,Selecciones,18,FALSE,0,FALSE
MEX11,Orbelín Pineda,México,Base,Selecciones,19,FALSE,0,FALSE
MEX12,Marcel Ruiz,México,Base,Selecciones,20,FALSE,0,FALSE
MEX13,Foto de equipo,México,Base,Selecciones,21,FALSE,0,FALSE
MEX14,Érick Sánchez,México,Base,Selecciones,22,FALSE,0,FALSE
MEX15,Hirving Lozano,México,Base,Selecciones,23,FALSE,0,FALSE
MEX16,Santiago Giménez,México,Base,Selecciones,24,FALSE,0,FALSE
MEX17,Raúl Jiménez,México,Base,Selecciones,25,FALSE,0,FALSE
MEX18,Alexis Vega,México,Base,Selecciones,26,FALSE,0,FALSE
MEX19,Roberto Alvarado,México,Base,Selecciones,27,FALSE,0,FALSE
MEX20,César Huerta,México,Base,Selecciones,28,FALSE,0,FALSE
RSA1,Escudo del equipo,Sudáfrica,FOIL,Selecciones,29,FALSE,0,FALSE
RSA2,Ronwen Williams,Sudáfrica,Base,Selecciones,30,FALSE,0,FALSE
RSA3,Sipho Chaine,Sudáfrica,Base,Selecciones,31,FALSE,0,FALSE
RSA4,Aubrey Modiba,Sudáfrica,Base,Selecciones,32,FALSE,0,FALSE
RSA5,Samukele Kabini,Sudáfrica,Base,Selecciones,33,FALSE,0,FALSE
RSA6,Mbekezeli Mbokazi,Sudáfrica,Base,Selecciones,34,FALSE,0,FALSE
RSA7,Khulumani Ndamane,Sudáfrica,Base,Selecciones,35,FALSE,0,FALSE
RSA8,Siyabonga Ngezana,Sudáfrica,Base,Selecciones,36,FALSE,0,FALSE
RSA9,Khuliso Mudau,Sudáfrica,Base,Selecciones,37,FALSE,0,FALSE
RSA10,Nkosinathi Sibisi,Sudáfrica,Base,Selecciones,38,FALSE,0,FALSE
RSA11,Teboho Mokoena,Sudáfrica,Base,Selecciones,39,FALSE,0,FALSE
RSA12,Thalente Mbatha,Sudáfrica,Base,Selecciones,40,FALSE,0,FALSE
RSA13,Foto de equipo,Sudáfrica,Base,Selecciones,41,FALSE,0,FALSE
RSA14,Bathusi Aubaas,Sudáfrica,Base,Selecciones,42,FALSE,0,FALSE
RSA15,Yaya Sithole,Sudáfrica,Base,Selecciones,43,FALSE,0,FALSE
RSA16,Sipho Mbule,Sudáfrica,Base,Selecciones,44,FALSE,0,FALSE
RSA17,Lyle Foster,Sudáfrica,Base,Selecciones,45,FALSE,0,FALSE
RSA18,Iqraam Rayners,Sudáfrica,Base,Selecciones,46,FALSE,0,FALSE
RSA19,Mohau Nkota,Sudáfrica,Base,Selecciones,47,FALSE,0,FALSE
RSA20,Oswin Appollis,Sudáfrica,Base,Selecciones,48,FALSE,0,FALSE
KOR1,Escudo del equipo,Corea del Sur,FOIL,Selecciones,49,FALSE,0,FALSE
KOR2,Jo Hyeon-woo,Corea del Sur,Base,Selecciones,50,FALSE,0,FALSE
KOR3,Kim Seung-gyu,Corea del Sur,Base,Selecciones,51,FALSE,0,FALSE
KOR4,Kim Min-jae,Corea del Sur,Base,Selecciones,52,FALSE,0,FALSE
KOR5,Cho Yu-min,Corea del Sur,Base,Selecciones,53,FALSE,0,FALSE
KOR6,Seol Young-woo,Corea del Sur,Base,Selecciones,54,FALSE,0,FALSE
KOR7,Lee Han-beom,Corea del Sur,Base,Selecciones,55,FALSE,0,FALSE
KOR8,Lee Tae-seok,Corea del Sur,Base,Selecciones,56,FALSE,0,FALSE
KOR9,Lee Myung-jae,Corea del Sur,Base,Selecciones,57,FALSE,0,FALSE
KOR10,Lee Jae-sung,Corea del Sur,Base,Selecciones,58,FALSE,0,FALSE
KOR11,Hwang In-beom,Corea del Sur,Base,Selecciones,59,FALSE,0,FALSE
KOR12,Lee Kang-in,Corea del Sur,Base,Selecciones,60,FALSE,0,FALSE
